 	Filename ▼ 	Summary + Labels ▼ 	Uploaded ▼ 	ReleaseDate ▼ 	Size ▼ 	DownloadCount ▼ 	...
Download 	Pingus-0.7.6.2.dmg 	Pingus-0.7.6.2 for MacOSX 	Dec 2011 		15.3 MB 	3297
Download 	Pingus-0.7.6-x86_64.dmg 	Pingus 0.7.6 for MacOSX (64bit build) 	Dec 2011 	Dec 2011 	15.1 MB 	2941
Download 	Pingus-0.7.6.1.dmg 	Pingus-0.7.6.1.dmg   Deprecated 	Dec 2011 		15.2 MB 	210
Download 	Pingus-0.7.6.dmg 	Pingus-0.7.6.dmg   Deprecated 	Dec 2011 		15.2 MB 	128
Download 	pingus-0.7.6.tar.bz2 	Pingus-0.7.6 Source Code 	Dec 2011 		12.0 MB 	10641
Download 	Pingus-0.7.6.exe 	Pingus-0.7.6 for Windows 	Dec 2011 		15.8 MB 	77640
Download 	Pingus-0.7.5.exe 	Pingus-0.7.5.exe   Deprecated 	Oct 2011 		15.7 MB 	4241
Download 	pingus-0.7.5.tar.bz2 	pingus-0.7.5.tar.bz2   Deprecated 	Oct 2011 		11.9 MB 	1263
Download 	Pingus-0.7.5rc1.exe 	Pingus-0.7.5rc1.exe   Deprecated 	Oct 2011 		15.7 MB 	784
Download 	pingus-0.7.5rc1.tar.bz2 	pingus-0.7.5rc1.tar.bz2   Deprecated 	Oct 2011 		11.9 MB 	130
Download 	Pingus-0.7.5-win32-beta.exe 	Pingus-0.7.5-win32-beta.exe   Deprecated 	Oct 2011 		15.5 MB 	27
Download 	pingus-0.7.4.tar.bz2 	pingus-0.7.4.tar.bz2   Deprecated 	Oct 2011 		11.8 MB 	535
Download 	pingus-0.7.3.tar.bz2 	pingus-0.7.3.tar.bz2   Deprecated 	Sep 2011 		10.6 MB 	6
Download 	pingus-0.7.2.tar.bz2 	pingus-0.7.2.tar.bz2   Deprecated 	Sep 2011 		10.5 MB 	7
Download 	pingus-0.7.2.exe 	pingus-0.7.2.exe   Deprecated 	Sep 2011 		12.8 MB 	6
Download 	pingus-0.7.1.tar.bz2.sig 	pingus-0.7.1.tar.bz2.sig   Deprecated 	Sep 2011 		65 bytes 	10
Download 	pingus-0.7.1.tar.bz2 	pingus-0.7.1.tar.bz2   Deprecated 	Sep 2011 		10.2 MB 	5
